12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:29 WARNING: MalletXY_in: buffer empty
12月 16 07:59:29 WARNING: ArmXY_in: buffer empty
12月 16 07:59:29 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
